feature,mean_abs_shap
vitality,11.588805
active_rate,1.8195734
formal_ratio,0.9040921
sector_diversity,0.725066
capital_median,0.3078822
weighted_capital,0.28225717
sarl_count,0.23917912
entity_count_real,0.16924953
rel_density,0.09609983
capital_mean,0.07822714
sa_count,0.052385017
capital_max,0.028901907
entity_count_total,0.016369801
sector_main_Transport,0.015634011
city_avg_density,0.014979949
sector_main_Commerce,0.0145213045
city_avg_active,0.0141718015
sector_main_Construction,0.012712171
sector_main_Information Technology,0.009912328
sector_main_Finance,0.009244278
sector_main_Real Estate,0.007382859
sector_main_Manufacturing,0.007030705
city_avg_capital,0.0054671383
sector_main_Professional Services,0.0054186396
sector_main_Healthcare,0.0041603805
sector_main_Other,0.003369523
gps_quality,0.0033485615
sector_main_Education,0.0032260502
sector_main_Tourism & Hospitality,0.0031851905
rel_capital,0.0031220622
city_n_sectors,0.00083245785
density_log,0.0
city_Casablanca,0.0
city_El Jadida,0.0
city_Mohammedia,0.0
city_Settat,0.0
