,Agriculture,Commerce,Construction,Education,Finance,Healthcare,Information Technology,Manufacturing,Other,Professional Services,Real Estate,Tourism & Hospitality,Transport
Agriculture,0,0,0,0,0,0,0,1,0,0,0,0,0
Commerce,1,4,5,0,0,0,3,2,2,1,1,1,1
Construction,0,8,5,0,0,0,2,2,4,1,0,0,1
Education,0,0,0,1,0,2,0,0,0,0,0,0,0
Finance,0,0,0,0,8,0,0,0,0,1,0,0,1
Healthcare,0,0,0,1,0,12,0,0,0,0,0,0,0
Information Technology,0,3,4,0,0,0,0,2,2,2,2,0,2
Manufacturing,1,3,1,0,0,0,1,3,4,0,0,0,0
Other,0,0,2,2,0,0,1,1,6,1,0,1,4
Professional Services,0,1,1,0,0,0,1,0,2,3,1,0,1
Real Estate,0,1,1,0,0,0,1,0,0,4,1,0,1
Tourism & Hospitality,0,1,0,0,2,0,2,0,0,0,1,0,1
Transport,0,3,3,0,0,0,1,0,2,2,1,2,0
