feature,importance,std
capital_mean,0.08939658397061404,0.02145659027103909
capital_max,0.08246638349233223,0.016764795734968533
vitality,0.04389792877850722,0.011667243232564378
formal_ratio,0.040421144528908395,0.0049923992926564536
active_rate,0.024854434866800765,0.012802711706686998
entity_count_real,0.010618795329800127,0.017256553842688867
sa_count,0.008568640913831863,0.008542411607850577
sarl_count,0.006515265336089907,0.006969267351775837
capital_median,0.005763177885551754,0.004201696784884009
city_avg_density,0.0013284098028826185,0.002658259408024073
city_avg_active,4.679572257955122e-05,0.0002818054824736521
entity_count_total,0.0,0.0
city_Mohammedia,0.0,0.0
density_log,0.0,0.0
gps_quality,0.0,0.0
city_avg_capital,0.0,0.0
city_Settat,0.0,0.0
city_n_sectors,0.0,0.0
city_El Jadida,0.0,0.0
city_Casablanca,0.0,0.0
weighted_capital,-0.0007204171055499947,0.014806954540047037
rel_capital,-0.006744149929138621,0.007250200965099145
rel_density,-0.009978996412138525,0.009693950273088956
sector_diversity,-0.010869448805857029,0.01770836574086659
