entity_name,sector,sector_main,entity_type,legal_form,company_status,capital_dhs,activity,phone,address,city,region,latitude,longitude,source_dataset
ASSISTANCE ET DE PROMOTION DE PETITES ET MOYENNES ENTREPRISES (STE D') (PME),Promotion et assistance aux petites et moyensnes entreprises,Information Technology,30 000  DHS,30 000  DHS,Radiation,0.0,,,*** -,Casablanca,9,33.594516,-7.628428,
CANACAS,Import-export,Other,100 000  DHS,100 000  DHS,En activité,2.0,,,107 groupe d n4 oulfa - Casablanca,Casablanca,Casablanca-Settat,33.5564236661,-7.67990817114,
S.N.S.GLOBAL,Securite - surveillance - nettoyage -jardinage,Information Technology,10 000  DHS,10 000  DHS,En activité,3.0,,,Hay essafa lot e 42 apt n°1 lissasfa - Casablanca,Casablanca,Casablanca-Settat,33.540377,-7.680112,
CHAMAN MEDIA,"Entrepreneur de génie informatique, agence de publicité, importation et exportation en conséquence",Information Technology,10 000  DHS,10 000  DHS,Liquidation,3.0,,,3 rue ishak ibnou hanine 5ème étage apt ii quartier burger - Casablanca,Casablanca,Casablanca-Settat,33.571908,-7.643186,
DITEMA MAROC,"- aménagement, exploitation et gestion de zone industrielle",Information Technology,100 000  DHS,100 000  DHS,En activité,0.0,,,197 angle bd zerktouni et al massira twin center - tour ouest - 16eme etage - Casablanca,Casablanca,10,33.58764,-7.6328,
BATIMENT ELECTRICITE,Etude conception mise au point fabrication montage installation appareillage achat vente representation exploitation de tous brevets etc,Commerce,10 000  DHS,10 000  DHS,En activité,0.0,,,1 rue s lieutenant torgol - Casablanca,Casablanca,9,33.600347,-7.562603,
BUREAU RECOUVREMENT DE CREANCES (BRC),Agent d'affaires ( recouvrement et representation ),Other,100 000  DHS,100 000  DHS,En activité,3.0,,,105 gr 3 rue 31 sidi moumen casa - Casablanca,Casablanca,Casablanca-Settat,33.588406,-7.498113,
BOURSOMAROC,"- le conseil et l'assistance en matière de gestion de patrimoine. - le conseil et l'assistance en matière de gestion financière, l'ingénierie financière et d'une manière générale tous les services visant à faciliter la création et le développement des entreprises. - la conception des sites webs. - la gestion et commercialisation des sites webs. -la commercialisation d'espaces publicitaires sur le web.",Information Technology,100 000  DHS,100 000  DHS,En activité,1.0,,,196 bd zerktouni - Casablanca,Casablanca,Casablanca-Settat,33.5868,-7.6314,
STE HAYARKON,Gerant d'immeuble,Other,200 000  DHS,200 000  DHS,En activité,3.0,,,Rue ibnou halka n° 51 - Casablanca,Casablanca,Casablanca-Settat,33.600615,-7.64458,
PRICE MEDICAL SYSTEME,Marchand effectuant import export - vente materiel medical,Commerce,100 000  DHS,100 000  DHS,En activité,0.0,,,Angle bd bourgogne rue jaafar ibn habib res machrek ii appt n° 14 - Casablanca,Casablanca,9,33.594146,-7.646586,
