cell_id,cell_lat,cell_lon,city,sector_main,entity_count_real,entity_count_total,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class
2383_-482,32.212426,-8.497833,Casablanca,Construction,1,1,1.0,10000.0,10000.0,10000.0,0.0,0.0,0,0,47.55,Faible
2384_-451,32.228152,-7.949695999999999,Casablanca,Construction,2,2,1.0,100000.0,100000.0,100000.0,0.0,0.0,0,0,47.67,Faible
2385_-394,32.2360718965,-6.94469589795,Casablanca,Construction,1,1,1.0,100000.0,100000.0,100000.0,0.0,0.0,0,0,47.64,Faible
2385_-450,32.238329,-7.934715,Casablanca,Construction,1,1,1.0,110000.0,110000.0,110000.0,0.0,0.0,0,0,47.66,Faible
2385_-452,32.239464,-7.958947,Casablanca,Commerce,1,1,1.0,10000.0,10000.0,10000.0,0.8437590816619513,0.0,0,0,60.92,Moyen
2385_-452,32.239464,-7.958947,Casablanca,Construction,6,6,1.0,300000.0,2282000.0,10000000.0,0.8437590816619513,0.0,0,0,61.36,Moyen
2385_-452,32.239464,-7.958947,Casablanca,Information Technology,2,2,1.0,5015000.0,5015000.0,10000000.0,0.8437590816619513,0.0,0,0,66.24,Fort
2385_-452,32.239464,-7.958947,Casablanca,Professional Services,1,1,1.0,100000.0,,,0.8437590816619513,0.0,0,0,61.02,Moyen
2385_-452,32.239464,-7.958947,Casablanca,Transport,2,2,0.5,100000.0,100000.0,100000.0,0.8437590816619513,0.0,0,0,37.27,Faible
2385_-484,32.232865,-8.530375,Casablanca,Construction,1,1,1.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0,0,48.6,Faible
2386_-484,32.25,-8.53333299,Casablanca,Construction,9,9,0.6666666666666666,10000.0,43750.0,100000.0,0.6760150508789764,0.0,0,0,42.62,Faible
2386_-484,32.25,-8.53333299,Casablanca,Manufacturing,1,1,0.0,10000.0,10000.0,10000.0,0.6760150508789764,0.0,0,0,10.71,Faible
2386_-484,32.25,-8.53333299,Casablanca,Other,1,1,0.0,1200000.0,1200000.0,1200000.0,0.6760150508789764,0.0,0,0,11.97,Faible
2386_-484,32.25,-8.53333299,Casablanca,Transport,2,2,1.0,300000.0,300000.0,500000.0,0.6760150508789764,0.0,0,0,58.6,Moyen
2388_-409,32.279076,-7.202938,Casablanca,Construction,2,2,1.0,100000.0,100000.0,100000.0,0.0,0.0,0,0,47.67,Faible
